CO2 (ppm),Température (°C),Humidité (%),Qualité de l'air
965.5474784219231,20.29226602145771,47.84243565735725,0
784.3985825047114,10.788654728540322,65.93299909595022,0
365.58944098315857,32.801652241119314,31.419878457045204,0
651.499275370164,27.23529703694495,71.56568385132462,0
784.57575044584,13.510292447579264,36.37729336469033,0
583.8604790274353,12.223272059010784,46.643314459300115,1
666.5894635376856,28.597551051832586,47.252688066371974,0
909.4301866061825,30.063422918505395,32.80457618218949,0
988.1919425683474,32.4962930002669,60.92116145331539,0
825.60396646572,15.933050353084496,83.46966413129023,0
465.59564876375623,24.57579564327866,69.9514243141956,1
468.49150626991985,13.712297945033487,85.19432830137407,0
577.3090169918598,30.831706241029323,53.260183478979364,0
954.6560289563288,23.738401244281714,70.88416417559762,0
848.6501057811312,30.846751848413714,59.80341168396632,0
985.8723866509856,32.048183475588544,45.50486396817629,0
466.20607033095905,15.93634568585431,30.515235920820928,1
968.0307256160726,18.81012717467315,34.795893168906105,0
381.76323999427234,11.025707014062906,63.45019801560543,1
325.1576027763725,30.272323914026707,75.27299038906023,0
607.3731000880621,31.32000457278323,48.011498122557576,0
449.35231232636016,20.194393592935594,40.3065266457088,1
726.8224359858435,32.79267580109871,72.70564692201545,0
836.6312729886007,14.322220957156112,65.82012620937812,0
536.5577389469764,28.691357974894395,69.90043458773152,1
548.0547230110494,11.75159852377979,85.71947044047249,0
413.01616630006447,26.175612169528712,39.66475929748849,1
448.57585336983067,15.443259356040837,38.816441954210795,1
840.3677000076368,26.212101550668507,85.10525461060395,0
570.7447015576106,26.522260251164084,88.75000839207792,0
703.6374989233615,27.876214470779374,87.4609074469879,0
631.3034935583096,23.580744885424927,62.12329568965383,0
777.0194409520318,29.59898246138205,32.815276748727605,0
700.6198113436792,28.232445732090703,67.49548829050127,0
692.0260401364853,17.971922177411177,72.0734999013287,0
324.93170861982196,15.055798575497231,42.41703821393822,1
795.9326746039807,15.19405660117631,76.25040590431519,0
533.5893018218001,31.87919558972414,60.97422504062111,0
508.0159772448677,15.744358380901502,33.88462746545292,1
661.1866641972895,33.6895562550753,53.912329713066356,0
600.1520879244848,25.480327137063632,47.5601538169699,0
416.9084287323543,32.54162978273456,80.92353202355883,0
908.883519037989,26.431219444311967,30.37750947078364,0
674.1275958474648,26.817847191580544,32.90980358771844,0
889.5599541509218,11.41827680595151,74.65452728960037,0
614.9102542381158,33.549465708151665,64.19537727448471,0
514.4187033950209,28.352063543950877,53.31467155149276,1
384.415697230613,20.79590224945601,42.51140119343693,1
461.819034939578,31.14588854117723,66.15925233688762,0
549.5525062239624,34.65532495150893,56.372820417517154,0
893.9926171894004,23.955286736160993,54.08201023728214,0
421.6177900681016,22.38556184556331,67.0683382808906,1
837.3238965730081,25.930536890907987,86.09035478423186,0
928.6061237043227,22.445619940933618,58.52859188236313,0
354.07406192483205,29.217750734201786,55.800869830426954,1
506.2529548414059,21.755521238717673,77.13438314584326,1
564.8638918331299,30.484464373336365,69.50014668614358,0
480.7990902032343,25.99097931911041,84.43749338440324,0
415.486784136556,27.9969749365777,43.12292092653001,1
907.8009331652328,19.351039357963046,30.403344590944428,0
765.3492477765906,17.78872170992917,66.71097206167856,0
871.1600880055353,10.46451764523347,69.4500390684982,0
729.0612409031835,23.477099035964113,75.79459909871957,0
899.0328905316886,29.898479256187482,50.373971404367666,0
857.7020113367604,30.205207760682924,80.43172072835924,0
574.7311084245368,15.109960017535418,80.36181904040716,0
600.7069977294769,31.249687963199943,83.2552668194518,0
416.62732890332677,30.944162143041055,40.307468929939745,0
561.9558281607307,23.184118981594374,86.22554040300903,0
502.59459411757325,26.919619054334138,30.11731925981787,1
796.5931153670342,31.62830746145228,60.26783642634277,0
864.3390921211629,32.165722426184374,39.99963977387657,0
449.5240762407831,23.897245861844482,79.08462705049317,1
784.3475063488195,24.389397895193362,70.25798016430088,0
564.5621467417341,16.238896809316614,56.25937560091626,1
924.1537618407317,34.562411502026634,89.5643726956109,0
715.0764677322491,28.729080532226686,66.23491550685488,0
741.6887629060452,10.466969927778207,82.74787079744185,0
776.0705846768647,31.61162423433372,47.55170093606985,0
981.557475369355,14.759479437846448,39.884123933558456,0
947.5786018362778,25.067609231283868,73.533752689322,0
895.5355602414876,15.113105282266813,36.39454765469995,0
734.1793235159967,33.4696489699176,75.6227562297791,0
847.0760339248578,13.416893566181342,87.45515718007125,0
942.2062612676252,34.47287343677482,60.10256757342158,0
710.1938282667857,11.197948287812679,80.41452156394729,0
906.2691237876445,23.238694691661642,63.763374266812136,0
729.3859332284626,17.973409507163854,43.39604562824118,0
901.7043706146095,15.730300560682615,59.57366618498194,0
652.1016047716785,31.79620663856649,54.62001044262672,0
993.2857075702792,24.649046781667742,44.91103891769502,0
984.9453774848483,13.442756479743203,35.692614264389725,0
642.9864614794684,28.242703103537306,60.242252603055086,0
562.1610016901279,16.182535284469513,89.0208927713116,0
973.5388571446427,27.53191210476809,42.20223199409166,0
601.9586585511452,13.268364440692492,70.18379385964822,0
535.8843537582509,24.583874234235456,38.983499854886716,1
694.9848155584226,26.579770709235564,51.77781913352361,0
593.1261482208142,34.33566202035037,33.681567440422,0
626.0184470762209,12.987667490723824,39.412459087834634,0
